Label,Parent,Child,Definition
Operation,Operations,Application Infrastructure,"The foundation and tools that enable the development, deployment, and management of software applications in a system or network environment."
Operation,Operations,Backup/Restore,Create a copy of the database to prevent data loss and recover it in case of failure or corruption
Operation,Operations,Caching,Improves query performance by storing frequently accessed data in memory
Operation,Operations,Composite Databases,"A database composed of multiple independent or semi-independent databases, which can be queried together as a single entity."
Operation,Operations,Data Loading,The process of importing data from external sources into the Neo4j graph database
Operation,Operations,Data Modelling,"The process of organizing data entities, their relationships, and properties to represent real-world objects and their attributes in a database system."
Operation,Operations,Data Science,A field that uses statistical and computational methods to extract insights and knowledge from data.
Operation,Operations,Database Configuration,The process of setting up and arranging the necessary components and parameters for a database to function properly.
Operation,Operations,Database Managment,Organizing and maintaining digital data using specialized software
Operation,Operations,Database Object Mapping,The process of translating objects in a database to nodes/relationships in a graph model
Operation,Operations,Development,"The process of creating or improving software, applications, or systems for better functionality and user experience."
Operation,Operations,"GenAI, LLMs and Vector Embeddings","The overarching category for anything to do with Generative Artificial Intelligence, LLMs or Vector Embeddings"
Operation,Operations,Health Check,A verification process ensuring system components are operating optimally
Operation,Operations,Import/Export,Moving data in/out of Neo4j
Operation,Operations,Indexes,Enables fast data access by creating pointers to data within graph databases
Operation,Operations,Installation,The process of setting up and configuring Neo4j in a computer system to enable its use
Operation,Operations,Logging,Process of recording events and messages generated by a system for diagnosing and troubleshooting purposes.
Operation,Operations,Monitoring,Observing and recording information about a system or process to identify and resolve issues
Operation,Operations,Neo4j Version Upgrade,"An update to the Neo4j system that brings new features, bug fixes, and performance improvements"
Operation,Operations,Performance Diagnostics,"Performance diagnostics identifies and measures performance issues in a system, providing insight into how to optimize it."
Operation,Operations,Querying,Accessing and retrieving data from a database through the use of logical conditions and search patterns.
Operation,Operations,Testing,A process of evaluating the functionality of a software application to ensure that it meets the specified requirements.
Operation,Operations,Tuning,Optimizing performance of Neo4j database through configuration changes
Operation,Operations,Visualisation,Visualisation: Representing complex datasets or relationships through graphical representations
Operation,Application Infrastructure,CI/CD/Devops,"CI/CD/DevOps refers to the combined set of practices, tools, and methodologies aimed at enhancing collaboration and improving the software development lifecycle by increasing efficiency, automating processes, and ensuring high-quality output."
Operation,Application Infrastructure,Data Management and Storage,The organization and preservation of data for efficient retrieval and use
Operation,Application Infrastructure,Disaster Recovery and High Availability,"Disaster Recovery: The ability to recover data and system functionality after a disruptive event. 

High Availability: A system's ability to remain operational and accessible for a high percentage of time."
Operation,Application Infrastructure,Hardware and Infrastructure Optimization,Maximizing the efficiency and performance of physical resources and systems supporting software applications.
Operation,Application Infrastructure,Microservices and Service-Oriented Architecture (SOA),"Microservices: A software architectural style that structures an application as a collection of small, independent services that communicate over a network. 

Service-Oriented Architecture (SOA): An architectural style that uses loosely coupled services to achieve interoperability between different software systems."
