operations_category_2,operations_category_1,software_component,software_category_1,software_category_2,ai_generated_description
null,Development,.Net,Application Framework,Drivers & Connectors,A software development framework used primarily for building Windows applications and web applications with a focus on object-oriented programming.
null,Application Infrastructure,Amazon Web Services (AWS),Infrastructure,Cloud Services,"A cloud computing platform with various services for data storage, computing power, database management, and more."
null,Data Orchestration,Apache Airflow,3rd Party Application,null,"A tool for creating, scheduling and monitoring workflows, improving data processing and providing visibility in graph form."
null,"Extract, Transform, Load (ETL)",Apache Hop,Application Framework,null,"An open-source ETL tool with support for graph technology, used for data integration, processing, and automation in software development."
null,Querying,APOC Core,Cypher Procedures & Functions,null,"APOC Core enhances graph database development and query performance with advanced data extraction, transformation, and loading capabilities."
null,Querying,APOC Extended,Neo4j Labs,null,APOC Extended provides additional graph database functionalities and enhanced APIs to optimize graph technology for software development.
null,Data Modelling,arrows.app,Neo4j Labs,Neo4j Application,"A graph visualization tool for software developers, allowing for easy exploration and understanding of code structure."
null,Development,Aura API,Aura,Interface,A graph data platform for software development that offers a wide range of features and functionalities.
null,Database Managment,Aura Browser,Interface,Aura,A web browsing tool designed for efficient and intuitive user experience while leveraging the power of graph technology.
null,Database Managment,Aura CLI,Neo4j Labs,Aura,Command-line interface for a graph platform that helps developers query and analyze data with ease
null,Database Managment,Aura Console,Aura,Interface,"A tool for managing a graph database and running graph queries in real-time, with a user-friendly interface."
,Data Orchestration,AWS Glue,3rd Party Application,Cloud Services,A software that enables data transformation and integration in the cloud-based environment for business intelligence and machine learning applications.
Business Intelligence (BI),Development,BI Connector,Drivers & Connectors,null,Seamlessly integrate your business intelligence tools with graph databases for efficient data analysis and visualization.
null,"Graph Discovery, Visualisation and Analysis",Bloom,Plugins,Interface,"Graph database management system with user-friendly interface, developed by Neo4j for beginner and advanced graph database users."
null,Database Managment,Browser,Interface,null,A program that allows users to view and interact with content on the internet
null,CI/CD/Devops,circleci,Infrastructure,null,"Automates build, test, and deploy processes for quick and reliable software delivery using continuous integration and delivery."
null,Database Managment,Command Line,Interface,null,A text-based interface for typing commands to execute specific tasks or operations within a software system.
null,Database Managment,Cypher Shell,Interface,null,"A command-line interface for querying graph databases, with features for visualizing query results and managing database connections."
null,Data Modelling,Cypher Workbench,Neo4j Labs,null,A tool for visualizing and querying graph databases using the Cypher query language and supporting multiple graph database systems.
null,"Graph Discovery, Visualisation and Analysis",cytoscape,3rd Party Application,null,"A graph analysis tool that provides visual representations of data for better understanding, analysis, and interpretation."
"Graph Discovery, Visualisation and Analysis",Development,d3.js,3rd Party Library,null,A powerful tool used for creating interactive and dynamic data visualizations on the web using JavaScript and HTML.
